entry_id,Co2_PPM,CO_PPM
1,26.67736,1.50297
2,29.25026,1.37995
3,27.68742,1.40382
4,30.18875,1.42806
5,28.33158,1.47763
6,27.43254,1.35643
7,22.32658,1.37995
8,28.46162,1.28795
9,26.42878,1.244
10,23.22354,1.31043
11,25.81413,1.13979
12,25.45,1.37995
13,25.08932,1.18052
14,27.30569,1.16
15,33.27007,0.69823
16,33.12562,0.12045
17,41.21557,0.69823
18,46.0802,0.6476
19,44.65265,0.6725
20,42.91077,0.63546
21,43.25541,0.63546
22,42.91077,0.63546
23,46.80546,0.63546
24,45.18442,0.63546
25,45.72046,0.58884
26,46.62342,0.57766
27,41.0486,0.50446
28,44.3005,0.4947
29,41.55091,0.50446
30,38.7587,0.5144
31,43.42842,0.46638
32,40.38524,0.4851
33,41.0486,0.5144
34,43.95027,0.4947
35,43.60189,0.54523
36,39.24192,0.4851
37,42.05739,0.5144
38,38.91933,0.5245
39,37.02135,0.5245
40,39.56632,0.46638
41,38.91933,0.45726
42,35.63967,0.4483
43,34.88733,0.4483
44,40.0563,0.36675
45,39.40388,0.4947
46,44.3005,0.46638
47,36.09629,0.43949
48,43.08286,0.42232
49,48.27915,1.16
50,55.50684,6.71528
51,86.45879,3.97951
52,98.04823,124.67055
53,134.63626,72.01884
54,372.13434,52.22556
55,356.90015,15.17605
56,504.64859,10.97362
57,589.36572,181.39113
58,394.24084,34.50516
59,497.93558,32.57212
60,833.16229,16.58032
61,890.27039,248.24741
62,1435.92371,93.26948
63,1543.69568,96.15733
64,1631.95776,49.98693
65,1459.12561,82.46619
66,1631.95776,30.02565
67,1777.69995,28.98895
68,1707.21948,20.72699
69,1631.95776,33.33362
70,1827.59558,19.01748
71,1482.61182,11.56813
72,1714.4093,30.02565
73,1899.25256,16.16793
74,1392.40979,9.34748
75,954.85803,6.71528
76,1685.7887,5.74379
77,634.84229,5.19169
78,531.15997,6.08178
79,480.04144,7.20244
80,400.72675,9.60286
81,399.91183,7.93633
82,338.49304,8.04634
83,294.47662,8.61664
84,293.17093,7.20244
85,264.86942,6.81034
86,252.35141,8.49983
87,233.53664,10.82924
88,211.05408,14.98419
89,201.90411,10.97362
90,196.9435,8.97555
91,195.47217,14.98419
92,193.03725,19.01748
93,176.13084,22.29807
94,193.52251,29.67655
95,172.52031,32.19712
96,172.07268,22.56981
97,159.01849,21.76316
98,168.08049,15.96514
99,158.59569,9.73283
100,158.17366,14.42136
101,122.24466,12.67664
102,148.68269,12.5128
103,135.7699,3.63466
104,132.01677,4.10065
105,123.65955,3.47225
106,171.62584,5.42234
107,141.53799,3.02244
108,145.87497,2.3473
109,141.53799,2.79527
110,158.17366,3.16635
111,140.37096,3.26559
112,109.03265,2.83947
113,89.26233,1.58129
114,67.09643,1.42806
115,143.10452,3.26559
116,304.40207,3.63466
117,393.43546,3.63466
118,303.06512,4.03969
119,445.65884,79.94386
120,387.03491,40.4638
121,578.64587,27.98378
122,660.27863,21.49995
123,525.18304,10.82924
124,255.88412,7.82764
125,201.4041,5.34449
126,167.20227,3.80367
127,219.9608,3.36753
128,228.58304,2.20072
129,339.93994,2.97576
130,400.72675,3.26559
131,472.64859,5.8267
132,454.52798,3.26559
133,104.54199,363.31
134,95.94714,264.43637
135,93.29169,186.57181
136,92.7085,154.35637
137,87.85287,119.85058
138,86.45879,100.13003
139,81.83279,81.61772
140,75.84895,67.60283
141,73.34364,57.58726
142,71.86809,49.44058
143,70.17243,40.92205
144,67.09643,36.53819
145,68.03284,31.82591
146,66.16888,27.98378
147,63.43888,26.37631
148,63.21491,23.97258
149,60.56936,21.23953
150,56.53675,18.78364
151,59.27539,17.00189
152,58.42333,15.17605
153,58.84829,13.52437
154,56.7443,12.67664
155,56.12325,10.82924
156,54.08654,10.40604
157,56.95236,10.82924
158,55.09848,9.86433
159,52.29708,9.34748
160,51.70965,8.97555
161,56.12325,7.93633
162,52.29708,7.20244
163,51.90497,6.90657
164,41.88811,5.2676
165,46.80546,5.8267
166,49.78407,5.2676
167,48.65244,5.19169
